Zach,hcaz
Edward,drawde
Ragan,nagar
Samuel,Leumas
Alosia,aisola
evelyn,nyleve
James,semaj
Liam,mail
Emma,amme
Noah,haonz
goat,witherspoon
zachary,naden
will,smith
sam,smith
sammy,will
gam,bo
sheck,wes
john,snow
lil,wayne
red,bull
solo,solo
luke,skywalker
ram,go
quiet,bo
rickey bobby,bow
compute,sci
surfer,man
wild,man
cow,boy
papy,zebra
print(''),print('-----------------------------------------------------------------------')
Quinton,baby
Quinton,balls
Quinton,denden
Quinton,Coley
quinton,coley
quinton,coley
quinton,coley
quinton,coley
Quinton,Coley
BigNateyD,NateyNate
